Question,Answer,Citation,System,Role,Keywords,LastReviewed
What information must the SF-52/RPA include to start a personnel action?,"The SF-52 (paper) or its electronic Request for Personnel Action (RPA) in DCPDS starts the action. It must identify the employee, the requested action by Nature of Action Code (NOAC) and legal authority, the requested effective date, and the position/pay data being changed (pay plan, series, grade, step, duty station). The request is routed for review and approval before it is effected as an SF-50.","OPM Guide to Processing Personnel Actions (GPPA), Ch. 4",DCPDS,HR Specialist,SF-52;RPA;request personnel action;effective date;NOAC,2026-07-04
What is a Nature of Action Code (NOAC) and how do I pick the right one?,"A NOAC is the three-digit code that identifies the specific type of personnel action (for example 100 Career Appointment, 702 Promotion, 893 Within-Grade Increase). You select it from the OPM GPPA action tables, which pair each code with its legal authority and required remarks. The NOAC drives how DCPDS effects the SF-50 and what data flows to pay.","OPM Guide to Processing Personnel Actions (GPPA), Ch. 6-8 (action tables)",OPM GPPA,HR Specialist,NOAC;nature of action;SF-50;action code;GPPA tables,2026-07-04
"Which fields on a personnel action actually drive pay (pay plan, grade, step, effective date, locality)?","The pay-driving fields carried on the SF-50 and passed to DCPS are pay plan, occupational series, grade, step, the pay-basis and work schedule, the duty station (which sets the locality pay area), the retirement plan, and the effective date. A change to any of these on an effected action recomputes the employee's rate of basic pay and adjusted (locality) pay.","DoD FMR Vol 8, Ch. 3 (basic and locality pay); DCPS User Manual, Master Employee Record fields",FMR Vol 8,HR Specialist;Payroll,pay plan;grade;step;locality;duty station;effective date;pay-driving fields,2026-07-04
"Where are retirement, FEHB, and TSP election fields recorded for pay?","Retirement plan, FEHB enrollment code, and TSP elections are recorded in DCPDS (from the SF-50 and the employee's benefit elections) and passed to DCPS, where they become deduction codes on the Master Employee Record. DCPS then withholds the corresponding retirement, health, and TSP amounts each pay period.","DoD FMR Vol 8, Ch. 4 (deductions); DCPS User Manual, Employee Data — deductions",FMR Vol 8,Payroll,retirement;FEHB;TSP;deductions;benefit codes;MER,2026-07-04
How does a personnel action get from DCPDS (HR) to DCPS (pay)?,"Once HR effects the action as an SF-50 in DCPDS, the scheduled DCPDS-to-DCPS personnel interface transmits the effected data to DCPS, which applies it to the employee's Master Employee Record (MER). HR does not key pay data into DCPS directly for standard actions — the interface is the handoff line between the HR system of record and the pay system of record.","DCPS User Manual, Personnel Interface (DCPDS-DCPS handoff)",DCPS,HR Specialist;Payroll,DCPDS to DCPS;personnel interface;SF-50;MER;handoff,2026-07-04
Who owns the action at each step — HR or Payroll?,"HR owns the action from the SF-52/RPA through review, approval, and effecting the SF-50 in DCPDS. Ownership passes to Payroll when the effected action reaches DCPS through the personnel interface and updates the MER; from that point Payroll owns pay computation, certification, and any exception or correction. The interface is the ownership boundary.","OPM GPPA, Ch. 4 (HR effecting); DoD FMR Vol 8, Ch. 3 (payroll computation)",OPM GPPA,HR Specialist;Payroll,ownership;HR vs payroll;handoff;responsibility,2026-07-04
When does a personnel action update the DCPS master record and take effect in pay?,"DCPS applies the action to the MER when it receives the action over the personnel interface. Pay reflects the change in the pay period that covers the SF-50 effective date; if the action reaches DCPS after that pay period has processed, DCPS computes retroactive pay back to the effective date rather than changing the effective date.","DCPS User Manual, Master Employee Record update; DoD FMR Vol 8, Ch. 3 (effective dates)",DCPS,Payroll,effective date;retroactive;master record update;pay period,2026-07-04
How is gross pay calculated after a pay-affecting personnel action?,"DCPS computes gross pay from the updated MER: rate of basic pay applied to the hours/pay basis, plus locality pay and any authorized premiums (overtime, night, environmental, etc.). Mandatory and voluntary deductions are then withheld in the required order of precedence to reach net pay.","DoD FMR Vol 8, Ch. 3 (pay computation) and Ch. 4 (deductions)",FMR Vol 8,Payroll,gross pay;basic pay;locality;premiums;net pay;computation,2026-07-04
In what order are mandatory deductions taken from civilian pay?,"When available pay cannot cover all deductions, DCPS applies them in the order of precedence set by DoD FMR Vol 8, Ch. 4 — retirement first, then OASDI (Social Security) and Medicare, federal income tax, FEHB, and the remaining categories in the listed sequence. Lower-precedence deductions are reduced or not taken when pay is insufficient.","DoD FMR Vol 8, Ch. 4 (order of precedence)",FMR Vol 8,Payroll,order of precedence;deductions;retirement;OASDI;Medicare;FEHB,2026-07-04
How is pay set on a promotion (two-step / maximum payable rate)?,"On a GS promotion, basic pay is set using the two-step rule: the employee's existing GS rate is increased by two within-grade steps, then set to the lowest step of the higher grade that at least equals that amount. Where a higher prior rate applies, the maximum payable rate rule may set a higher step. Locality/adjusted pay is then applied at the new grade and step.","DoD FMR Vol 8, Ch. 3; 5 CFR 531.214 (promotion pay-setting)",5 CFR,HR Specialist;Payroll,promotion;two-step rule;maximum payable rate;pay setting,2026-07-04
